rank,channel_id,channel_name,channel_url,subscribers,video_count,total_views,description,published_at,country,custom_url,default_language,thumbnail_url,topic_categories,privacy_status,is_linked,made_for_kids,channel_keywords,uploads_playlist_id,instagram_url,x_url,tiktok_url
1,UCC0JWiw4BJYR4NUDxQCf0Hg,ひなちゃんねる / Hinata Kato,https://youtube.com/@@hinatakato,2870000,632,842449830,"˗ˏˋひなちゃんねるプロフィール ˎˊ˗  

引きこもり&何をするにもネガティヴだった私が
運動に出会って-20kgに成功🌈

そこから生きてる世界がかわったよ❕
少しずつだけど何をするにも
前向きにポジティブになれました✨
そして今はキラキラ最強説を全世界のみんなに
伝える為にYouTubeを頑張っています🤸🏼‍♂️


みんなへ✎𓈒𓂂𓏸
やろうかなと思った事、少しでも行動に移せた事
それだけでもすっごく進歩なんだよ😤
目標に達成した自分はもちろん、頑張ってる途中の自分もいっぱい褒めてあげてね！
我々は生まれた時からもうすでに最高なのだから😉


˗ˏˋ  my profile ˎˊ˗  
I used to be a homebody and pessimistic about anything I would do until I started my fitness journey, then I succeeded losing 20kg (44lbs)🌈
 
The world I started to see changed, and gradually but surely, I started to be a more positive person. Till this day I keep on training to be the HAPPIEST and the BEST version of myself🤸🏼‍♂️
 


【お仕事のご連絡はこちらへ☺︎】
https://www.asobanaito.com

　
",2017-05-24T17:43:55Z,JP,@hinatakato,,https://yt3.ggpht.com/V92bI8Bm24208mUkWrWQOq1IIIDdJUOMTCQmoajfgRMh27423azIm5KO7zA3yj8QEFhAFOWuXQ=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Lifestyle (sociology), Health",public,True,False,ひなちゃんねる 加藤ひなた ひなチャンネル ダイエット diet workout 脚やせ お腹痩せ お尻痩せ 背中痩せ HIIT FITNESS 太もも痩せ 顔痩せ お尻痩せ 二の腕痩せ 大転子 骨盤矯正 肩凝り ストレートネック 首こり 有酸素 足痩せ 脚痩せ 脚パカ 足パカ,UUC0JWiw4BJYR4NUDxQCf0Hg,,,
2,UCXVErXFv_fzdIMjFpkIXHtg,まめたまの筋トレ日記,https://youtube.com/@@mametama,683000,1043,215319663,"“昨日よりかっこいい自分へ！""をテーマに動画を発信してます！

今の自分がどうであれ、努力で人は変われる。
ガリガリで自分に自信がなかった僕らは筋トレを通して変われました。

変わりたいと思った時こそ人生のスタートだと思ってるので、
一緒に昨日よりかっこいい自分を目指していきましょう！！！

【2019年】
2019/09/05  初投稿
2019/12/13  登録者1,000人達成

【2020年】
2020/05/19  登録者10,000人達成
2020/09/19  登録者50,000人達成

【2021年】
2021/03/16  登録者70,000人達成
2021/03/31  社会人3年目。2人でそれぞれの会社を退職
2021/09/04  登録者100,000人達成（銀の盾を獲得）

【2022年】
2022/01/26 Uber eats『まめたまの頑張らないダイエット食堂』を出店
2022/04/04 登録者200,000人達成
2022/08/16 登録者300,000人達成（2022年度の目標達成）

【2023年】
2023/02/13 共同代表として会社設立
2023/04/24 登録者400,000人達成
2023/05/31 日本一の筋トレコンビYouTuber達成（2023年度の目標達成）
2023/06/21 累計再生数1億回突破
2023/07/02 宅トレ動画が1,000万再生を突破
2023/08/31 登録者500,000人達成
2023/11/29 初の書籍『おはよう、新しい朝、新しい僕、新しい筋肉。』発売

【2024年】
2024/06/23 食事指導講座「SIX-PACKプロジェクト」始動
2024/08/30 Uber eats『まめたまのアサイーボウル』を出店
2024/09/03 登録者600,000人達成
2024/11/29 SWEETSプロテイン販売（3日でAmazon完売）

【2025年】
2025/5/3 まめたまのアサイーボウル全国50店舗展開
2025/7/4 SWEETSプロテイン1万袋完売
2025/7/10 SIX-PACKプロジェクト200名突破
2025/8/24 『夏のまめたまダイエットフェス2025』100名開催

【20××年】
日本一の筋トレYouTuberになる
",2019-08-10T21:53:00Z,JP,@mametama,,https://yt3.ggpht.com/ytc/AIdro_mQP_ip4nErZg0_gM2QbHvmrBYoT4pc8RQJGzO36BZD2Q=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Lifestyle (sociology), Health, Food",public,True,False,筋トレ 腹筋 宅トレ 自重トレ 浮き輪肉 筋肉 ダイエット まめたま,UUXVErXFv_fzdIMjFpkIXHtg,,,
3,UCKuKJHdK8hmwNXpEcHPK8FQ,筋トレの科学【理学療法士リョウ】,https://youtube.com/@@workout_science,151000,135,13104402,"科学的根拠に基づくトレーニングについて分かりやすく学べるチャンネルです。
実践的な解説やノウハウをどんどん出していきますので、一緒に学んでいきましょう！

■このチャンネルの対象者
・自己流の限界を感じて停滞している方
・「根性」や「気合」、「経験則」ではなく、論理的なボディメイクを実践したい方
・怪我や疲労に苦しんでいる男性トレーニー
・巷に溢れる矛盾したフィットネス情報の「ウソ」や「矛盾」に疲弊し、「正解」だけを知りたい方
・合理的思考の方

■チャンネル運営者（リョウ）について
・理学療法士（国家資格）として医療現場に6年勤務し、人体の構造を熟知。
・パーソナルトレーナーとして指導歴12年。
・コンテスト上位入賞者を多数輩出するなど、感覚ではなく再現性の高い指導に定評あり。
・オンライン・オフラインでのべ10,000人以上を「理想の身体」へ導く。 
・私自身、過去には100kg超の肥満だったが、科学的アプローチで「11ヶ月で-31.8kgの減量」に成功。
",2020-12-26T07:44:17.748094Z,JP,@workout_science,,https://yt3.ggpht.com/WkCdzLYjH-4rVo-IARwcl0Vlj5Ulbf6I6arZIyLDRzqTuIA1Fi3OvQtK1RBqqVfm87jW2EqEEYo=s800-c-k-c0x00ffffff-no-rj,"Physical fitness, Health, Lifestyle (sociology)",public,True,False,筋トレ 筋トレの科学,UUKuKJHdK8hmwNXpEcHPK8FQ,,,
